state,x,y
Andhra Pradesh,-82.0,-172.0
Arunachal Pradesh,204.0,126.0
Assam,177.0,88.0
Bihar,57.0,55.0
Chhattisgarh,-27.0,-53.0
Goa,-190.0,-162.0
Gujarat,-225.0,0.0
Haryana,-135.0,142.0
Himachal Pradesh,-113.0,191.0
Jharkhand,37.0,25.0
Karnataka,-152.0,-190.0
Kerala,-155.0,-265.0
Madhya Pradesh,-95.0,0.0
Maharashtra,-167.0,-75.0
Manipur,240.0,50.0
Meghalaya,145.0,65.0
Mizoram,220.0,13.0
Nagaland,247.0,85.0
Odisha,35.0,-45.0
Punjab,-140.0,178.0
Rajasthan,-190.0,80.0
Sikkim,101.0,125.0
Tamil Nadu,-90.0,-260.0
Telangana,-80.0,-100.0
Tripura,151.0,20.0
Uttarakhand,-79.0,160.0
Uttar Pradesh,-40.0,80.0
West Bengal,98.0,0.0
